Account,Date,daily_pnl,trades,avg_trade_size_usd,total_volume_usd,win_rate,long_ratio,pnl_per_trade,sentiment
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-13,2390.12335,101,1278.79198019802,129157.99,0.8316831683168316,0.0,23.432581862745096,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-15,462.740727,28,3875.14,108503.92,0.6785714285714286,0.0,15.956576793103448,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-16,14.54605,5,341.232,1706.16,0.2,0.0,2.4243416666666664,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-18,3112.721339,131,2398.0035877862597,314138.47000000003,0.8091603053435115,0.0,23.581222265151517,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,770.462266,221,1613.0980995475113,356494.68,0.6968325791855203,0.0,3.470550747747748,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-20,1727.154021,69,2101.7873913043477,145023.33,0.9420289855072463,0.0,24.673628871428573,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-21,2720.828056,188,1504.8432978723404,282910.54,0.6436170212765957,0.0,14.395915640211639,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-22,1437.17482,121,2194.715289256198,265560.55,0.6611570247933884,0.0,11.780121475409835,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-23,1001.2053860000001,125,2364.3752000000004,295546.9,0.784,0.0,7.9460744920634925,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-25,3622.6256409999996,79,2395.0187341772153,189206.48,0.9620253164556962,0.0,45.282820512499995,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-26,5303.037252,86,3985.245697674419,342731.13,0.9302325581395349,0.0,60.95445117241379,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-02,948.6016900000001,12,3923.564166666667,47082.770000000004,0.9166666666666666,0.0,72.96936076923078,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-03,-370.250064,101,1018.7064356435644,102889.35,0.6039603960396039,0.0,-3.629902588235294,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-05,-5843.04,2,42921.479999999996,85842.95999999999,0.0,0.0,-1947.68,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-08,556.480533,18,1573.7972222222222,28328.35,0.9444444444444444,0.0,29.288449105263158,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-11,23670.188163,170,3202.6863529411767,544456.68,0.9470588235294117,0.0,138.42215299999998,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-12,788.209533,24,2053.1325,49275.18,0.875,0.0,31.528381319999998,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-13,216.69714,20,3998.917,79978.34,0.05,0.0,10.318911428571429,
